0	74
0	28
1	10
2	69
2	81
3	58
3	65
4	22
5	32
6	66
6	55
7	11
7	8
7	14
8	9
8	13
8	21
8	64
9	10
11	16
11	12
11	44
15	39
15	19
15	79
16	41
17	19
17	49
18	35
18	20
20	59
22	67
22	24
22	26
23	26
23	40
23	41
23	91
25	26
26	57
26	99
27	39
27	87
28	34
29	32
29	61
29	90
30	31
31	32
31	53
31	68
31	69
32	34
32	73
33	41
35	39
35	38
36	94
36	39
36	84
37	39
38	89
38	92
39	77
40	75
41	98
42	58
43	50
43	63
45	94
46	75
47	61
47	52
48	68
50	82
50	74
50	85
51	90
52	60
52	80
52	88
54	94
55	86
56	60
56	94
58	88
58	70
62	90
64	93
66	67
66	71
67	96
67	78
71	97
72	93
76	84
77	83
77	95
81	82
81	96
