0	1	+	0	74
0	2	+	1	10
0	3	+	2	69
0	4	+	3	58
0	5	+	4	22
0	6	+	5	32
0	7	+	6	66
0	8	+	7	11
0	9	+	8	7
0	10	+	9	8
0	11	+	10	9
0	12	+	11	16
0	13	+	12	11
0	14	+	13	8
0	15	+	14	7
0	16	+	15	39
0	17	+	16	41
0	18	+	17	19
0	19	+	18	35
0	20	+	19	15
0	21	+	20	18
0	22	+	21	8
0	23	+	22	67
0	24	+	23	26
0	25	+	24	22
0	26	+	25	26
0	27	+	26	22
0	28	+	27	39
0	29	+	28	0
0	30	+	29	32
0	31	+	30	31
0	32	+	31	32
0	33	+	32	34
0	34	+	33	41
0	35	+	34	28
0	36	+	35	39
0	37	+	36	94
0	38	+	37	39
0	39	+	38	35
0	40	+	39	36
0	41	+	40	23
0	42	+	41	23
0	43	+	42	58
0	44	+	43	50
0	45	+	44	11
0	46	+	45	94
0	47	+	46	75
0	48	+	47	61
0	49	+	48	68
0	50	+	49	17
0	51	+	50	82
0	52	+	51	90
0	53	+	52	47
0	54	+	53	31
0	55	+	54	94
0	56	+	55	6
0	57	+	56	60
0	58	+	57	26
0	59	+	58	88
0	60	+	59	20
0	61	+	60	52
0	62	+	61	29
0	63	+	62	90
0	64	+	63	43
0	65	+	64	8
0	66	+	65	3
0	67	+	66	67
0	68	+	67	96
0	69	+	68	31
0	70	+	69	31
0	71	+	70	58
0	72	+	71	66
0	73	+	72	93
0	74	+	73	32
0	75	+	74	50
0	76	+	75	40
0	77	+	76	84
0	78	+	77	39
0	79	+	78	67
0	80	+	79	15
0	81	+	80	52
0	82	+	81	2
0	83	+	82	81
0	84	+	83	77
0	85	+	84	36
0	86	+	85	50
0	87	+	86	55
0	88	+	87	27
0	89	+	88	52
0	90	+	89	38
0	91	+	90	29
0	92	+	91	23
0	93	+	92	38
0	94	+	93	64
0	95	+	94	56
0	96	+	95	77
0	97	+	96	81
0	98	+	97	71
0	99	+	98	41
0	100	+	99	26
1	101	+	1	20
1	102	+	2	51
1	103	+	3	12
1	104	+	4	32
1	105	+	5	14
1	105	-	6	55
1	106	+	6	84
1	106	-	42	58
1	107	+	42	18
1	107	-	43	63
1	108	+	43	41
1	109	+	44	37
1	109	-	45	94
1	110	+	45	7
1	111	+	46	21
1	112	+	47	17
1	113	+	48	34
1	114	+	49	7
1	115	+	50	32
1	116	+	51	76
1	116	-	52	60
1	117	+	52	9
1	118	+	53	88
1	119	+	54	92
1	120	+	55	34
1	121	+	56	95
1	121	-	57	26
1	122	+	57	32
1	123	+	58	61
1	123	-	59	20
1	124	+	59	51
1	125	+	60	28
1	125	-	61	29
1	126	+	61	59
1	127	+	62	74
1	128	+	63	32
1	128	-	64	8
1	129	+	64	95
1	130	+	65	56
1	130	-	66	71
1	131	+	66	58
1	132	+	67	24
1	133	+	68	13
1	134	+	69	59
1	135	+	70	88
1	136	+	71	5
1	137	+	72	97
1	137	-	73	32
1	138	+	73	83
1	139	+	74	21
1	140	+	75	62
1	140	-	76	84
1	141	+	76	24
1	141	-	77	95
1	142	+	77	12
1	143	+	78	14
1	144	+	79	91
1	145	+	80	84
1	145	-	81	82
1	146	+	81	19
1	147	+	82	56
1	148	+	83	20
1	149	+	84	1
1	150	+	85	35
1	151	+	86	97
1	152	+	87	13
1	153	+	88	2
1	154	+	89	13
1	155	+	90	15
1	156	+	91	53
1	157	+	92	98
1	158	+	93	9
1	159	+	94	86
1	160	+	95	61
1	161	+	96	50
1	162	+	97	65
1	162	-	98	41
1	163	+	98	51
1	164	+	99	4
1	165	+	21	34
1	165	-	22	24
1	166	+	22	36
1	166	-	23	41
1	167	+	23	80
1	168	+	24	20
1	169	+	25	69
1	170	+	26	27
1	170	-	27	39
1	171	+	27	41
2	172	+	64	42
2	173	+	0	2
